City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Itoman,JP,26.12,127.67,73.4,56,40,13.87,scattered clouds
83,Hilo,US,19.73,-155.09,75.2,88,90,2.1,overcast clouds
84,Olafsvik,IS,64.89,-23.71,41.61,78,76,11.48,broken clouds
85,Bluff,NZ,-46.6,168.33,55.99,97,100,5.01,moderate rain
86,Bengkulu,ID,-3.8,102.27,76.66,88,100,5.06,heavy intensity rain
87,Egvekinot,RU,66.32,-179.17,11.08,85,100,7.52,overcast clouds
88,Ilulissat,GL,69.22,-51.1,17.6,61,40,3.36,scattered clouds
89,Pias,PH,15.35,121.07,77.0,94,75,2.24,broken clouds
90,Cayenne,GF,4.93,-52.33,89.6,62,75,12.75,broken clouds
91,Chuy,UY,-33.7,-53.46,61.97,65,63,11.43,broken clouds
92,Ucluelet,CA,48.93,-125.55,51.01,80,58,8.99,broken clouds
93,Hobart,AU,-42.88,147.33,48.2,81,75,2.24,broken clouds
94,Komsomolskiy,UZ,40.43,71.72,46.4,24,0,6.93,clear sky
95,Hithadhoo,MV,-0.6,73.08,83.28,75,0,10.13,clear sky
96,Isangel,VU,-19.55,169.27,74.93,81,97,11.74,overcast clouds
97,Greenwood Village,US,39.62,-104.95,45.0,55,1,10.29,clear sky
98,Coquimbo,CL,-29.95,-71.34,55.4,82,90,13.87,overcast clouds
99,Solnechnyy,RU,50.72,136.63,31.5,92,100,3.13,overcast clouds
100,Basco,PH,20.45,121.97,78.8,80,45,34.54,scattered clouds
101,Campo Maior,BR,-4.83,-42.17,99.84,29,94,5.84,overcast clouds
102,Samandag,TR,36.08,35.98,82.4,30,0,4.09,clear sky
103,Teahupoo,PF,-17.83,-149.27,77.0,78,20,3.36,few clouds
104,Mount Isa,AU,-20.73,139.5,77.0,12,0,16.11,clear sky
105,Saint George,US,37.1,-113.58,48.2,31,1,3.29,clear sky
106,Bam,IR,29.11,58.36,59.67,29,0,4.83,clear sky
107,Alice Springs,AU,-23.7,133.88,64.4,18,0,8.05,clear sky
108,Hovd,MN,48.01,91.64,31.89,79,100,3.74,overcast clouds
109,Lincoln,US,40.8,-96.67,32.0,70,1,6.33,clear sky
110,San Patricio,US,28.02,-97.52,55.99,71,20,9.17,few clouds
111,Narsaq,GL,60.92,-46.05,30.2,68,75,2.21,broken clouds
112,Tiznit,MA,29.58,-9.5,83.62,15,0,16.96,clear sky
113,Sao Filipe,CV,14.9,-24.5,84.69,52,86,11.36,overcast clouds
114,Ayan,RU,56.45,138.17,28.0,87,100,4.47,overcast clouds
115,Khorol,UA,49.78,33.28,49.68,77,99,5.48,overcast clouds
116,Fortuna,US,40.6,-124.16,37.4,100,75,8.05,broken clouds
117,Agadir,MA,30.42,-9.6,93.2,12,0,10.29,clear sky
118,Vestmannaeyjar,IS,63.44,-20.27,42.8,87,40,20.8,scattered clouds
119,Boynton Beach,US,26.53,-80.07,84.99,79,1,5.82,clear sky
120,Longyearbyen,SJ,78.22,15.64,17.6,67,20,4.7,few clouds
121,Avarua,CK,-21.21,-159.78,73.4,78,100,5.82,overcast clouds
122,Havre-Saint-Pierre,CA,50.23,-63.6,32.25,85,0,13.33,clear sky
123,Katsuura,JP,35.13,140.3,55.4,50,20,16.11,few clouds
124,Shingu,JP,33.73,135.98,47.08,75,0,6.73,clear sky
